1;CD-001;External Expertise;Interpreters-External Expertise;Daily Rate(US$);468
2;CD-002;External Expertise;Translators-External Expertise;Daily Rate(US$);252
3;CD-003;External Expertise;Revisers-External Expertise;Daily Rate(US$);300
4;CD-004;External Expertise;Proof Readers-External Expertise;Daily Rate(US$);147
5;CD-005;External Expertise;Project/short term Consultants-External Expertise;Daily Rate(US$);600
6;CD-006;External Expertise;Secretary-External Expertise;Daily Rate(US$);102
7;CD-007;External Expertise;High Level Honorarium-(Former Head of State or Gov.);Daily Consultancy rate(US$);750
8;CD-008;External Expertise;Regular Honorarium-(Former Ministers, Special Envoy distinguished personalities);Daily Consultancy rate(US$);500
9;CD-009;External Expertise;Basic Honorarium-(Personal, Academicians);Daily Consultancy rate(US$);300
10;CD-010;External Expertise;Volunteer-Volunteer Allowance;Monthly Rate (US$);800
11;CD-011;Travel Ticket;Central Africa-Business-Travel-Tickets-Business;Return Trip (US$);1900
12;CD-012;Travel Ticket;Central Africa-Economy-Travel-Tickets-Economy;Return Trip (US$);950
13;CD-013;Travel Ticket;Africa-Harare-Business-Travel-Tickets-Business;Return Trip (US$);1600
14;CD-014;Travel Ticket;Africa-Harare-Economy-Travel-Tickets-Economy;Return Trip (US$);567
15;CD-015;Travel Ticket;Africa-Johannesburg-Business-Travel-Tickets-Business;Return Trip (US$);1600
16;CD-016;Travel Ticket;Africa-Johannesburg-Economy-Travel-Tickets-Economy;Return Trip (US$);580
17;CD-017;Travel Ticket;Africa-Cairo-Business-Travel-Tickets-Business;Return Trip (US$);1500
18;CD-018;Travel Ticket;Africa-Cairo-Economy-Travel-Tickets-Economy;Return Trip (US$);368
19;CD-019;Travel Ticket;East Africa-Economy-Travel-Tickets-Economy;Return Trip (US$);500
20;CD-020;Travel Ticket;East Africa-Business-Travel-Tickets-Business;Return Trip (US$);1050
21;CD-021;Travel Ticket;North Africa-Economy-Travel-Tickets-Economy;Return Trip (US$);1400
22;CD-022;Travel Ticket;North Africa-Business-Travel-Tickets-Business;Return Trip (US$);2400
23;CD-023;Travel Ticket;Southern Africa-Economy-Travel-Tickets-Economy;Return Trip (US$);838
24;CD-024;Travel Ticket;Southern Africa-Business-Travel-Tickets-Business;Return Trip (US$);1400
25;CD-025;Travel Ticket;West Africa-Business-Travel-Tickets-Business;Return Trip (US$);2400
26;CD-026;Travel Ticket;West Africa-Economy-Travel-Tickets-Economy;Return Trip (US$);1070
27;CD-027;Travel Ticket;Europe-Business-Travel-Tickets-Business;Return Trip (US$);1600
28;CD-028;Travel Ticket;Europe-Economy-Travel-Tickets-Economy;Return Trip (US$);833
29;CD-029;Travel Ticket;America-Business-Travel-Tickets-Business;Return Trip (US$);2700
30;CD-030;Travel Ticket;America-Economy-Travel-Tickets-Economy;Return Trip (US$);1003
31;CD-031;Travel Ticket;Asia-Business-Travel-Tickets-Business;Return Trip (US$);2200
32;CD-032;Travel Ticket;Asia-Economy-Travel-Tickets-Economy;Return Trip (US$);1100
33;CD-033;Travel Ticket;Africa-Lusaka-Business-Travel-Tickets-Business;Return Trip (US$);1400
