1;1;Internal Audit;South Africa;231 15th Rd, Midrand, Johannesburg, 1685
2;1;Communications ;South Africa;232 15th Rd, Midrand, Johannesburg, 1685
3;1;Private Sector Engagement;South Africa;233 15th Rd, Midrand, Johannesburg, 1685
4;1;Legal;South Africa;234 15th Rd, Midrand, Johannesburg, 1685
5;2;Division of Programme Development;South Africa;236 15th Rd, Midrand, Johannesburg, 1685
6;2;Division of Data Analytics, Research and Innovation;South Africa;237 15th Rd, Midrand, Johannesburg, 1685
7;2;Division of Technical Cooperation and Advisory Services;South Africa;238 15th Rd, Midrand, Johannesburg, 1685
8;3;Division of Environmental Sustainability;South Africa;240 15th Rd, Midrand, Johannesburg, 1685
9;3;Division of Human Capital and Institutions Development;South Africa;241 15th Rd, Midrand, Johannesburg, 1685
10;3;Division of Economic Integration;South Africa;242 15th Rd, Midrand, Johannesburg, 1685
11;3;Division of Industrialization;South Africa;243 15th Rd, Midrand, Johannesburg, 1685
12;3;Coordinating and Reporting;South Africa;241 15th Rd, Midrand, Johannesburg, 1685
13;4;Division of Evaluation;South Africa;243 15th Rd, Midrand, Johannesburg, 1685
14;4;Division of Knowledge Capitalization and Management;South Africa;244 15th Rd, Midrand, Johannesburg, 1685
15;4;Division of Centre of Excellence Management;South Africa;245 15th Rd, Midrand, Johannesburg, 1685
16;5;Division of Finance;South Africa;247 15th Rd, Midrand, Johannesburg, 1685
17;5;Division of Human Resources;South Africa;248 15th Rd, Midrand, Johannesburg, 1685
18;5;Division of Procurement ;South Africa;249 15th Rd, Midrand, Johannesburg, 1685
19;5;Information Systems Management;South Africa;250 15th Rd, Midrand, Johannesburg, 1685
20;5;Enterprise Resource Planning;South Africa;251 15th Rd, Midrand, Johannesburg, 1685
21;5;Administration;South Africa;252 15th Rd, Midrand, Johannesburg, 1685
