1;8;3;Climate Resilience ;South Africa;231 15th Rd, Midrand, Johannesburg, 1685
2;8;3;Energy Water Food Systems ;South Africa;232 15th Rd, Midrand, Johannesburg, 1685
3;8;3;Smart Places ;South Africa;233 15th Rd, Midrand, Johannesburg, 1685
4;8;3;Agriculture Transformation  ;South Africa;234 15th Rd, Midrand, Johannesburg, 1685
5;9;3;Health;South Africa;235 15th Rd, Midrand, Johannesburg, 1685
6;9;3;Nutrition ;South Africa;236 15th Rd, Midrand, Johannesburg, 1685
7;9;3;Education;South Africa;237 15th Rd, Midrand, Johannesburg, 1685
8;9;3;Employment and Skills ;South Africa;238 15th Rd, Midrand, Johannesburg, 1685
9;9;3;Gender Development ;South Africa;239 15th Rd, Midrand, Johannesburg, 1685
10;10;3;Regional Infrastructure and Connectivity;South Africa;240 15th Rd, Midrand, Johannesburg, 1685
11;10;3;Markets and Trade;South Africa;241 15th Rd, Midrand, Johannesburg, 1685
12;10;3;Public Private Engagement  ;South Africa;242 15th Rd, Midrand, Johannesburg, 1685
13;11;3;Manufacturing and Services ;South Africa;243 15th Rd, Midrand, Johannesburg, 1685
14;11;3;Blue Economy;South Africa;244 15th Rd, Midrand, Johannesburg, 1685
15;11;3;Digitalization and Technology ;South Africa;245 15th Rd, Midrand, Johannesburg, 1685
