1;1;5;OCEO Programmes 
2;2;6;Development of Innovative Programmes for A2063 Results Programme
3;2;6;Programme Incubation for A2063 Results Programme
4;2;6;Development of Innovative Programmes for A2063 Results Programme
5;2;7;Data Utilization and Innovation for Africa's Development Programme 
6;2;8;Capacity Building and Advisory services for MS and RECs through A2063 implementation 
7;2;8;Strengthening Africa’s Global Representation and Voice Programme
8;2;8;Strengthening National Planning Systems Programme
9;3;10;Renewable Energy Programme 
10;3;10;Environmental Management Programme
11;3;10;Food Security Programme
12;3;10;Agriculture Programme
13;3;11;Primary Health Care programme 
14;3;11;Education Programme
15;3;11;Skills and Employment 
16;3;11;Nutrition Programme 
17;3;11;Gender Programme
18;3;12;Infrastructure and Connectivity Programme
19;3;12;Markets and Trade Programme
20;3;13;Industrialization Policy and Development
21;3;13;Manufacturing and Tradable services Programme
22;4;16;Evaluation Programme
23;4;17;Knowledge Capitalization and Management Programme
24;4;18;Support to Knowledge Centres Programme 
25;5;26;Organizational Excellence and Accountability Programme
26;6;27;Strategic Initiatives Programme
27;6;27;Technical Cooperation and Partnerships Programme
28;6;27;Resources Mobilization Programme
