1;1;1;5;Country Agri-Business Partnership Framework Implementation 
2;1;1;5;Private Sector Engagements: Move Africa
3;1;1;5;Institutional Development
4;2;2;6;AUDA-NEPAD Organizational Transformation for Planning Programming and Delivery
5;2;2;6;AUDA-NEPAD Organizational Transformation to Support Programme Development
6;3;2;6;Programme Incubation 
7;3;2;6;Tourism Project
8;3;2;6;Designing New Programmes
9;4;2;6;AUDA-NEPAD Committees
10;4;2;6;Programme Development and Planning Tools
11;4;2;6;Programme Pipeline Assessments
12;4;2;6;Promoting Institutional Capacity Development through Strengthening Planning Systems
13;5;2;7;Strengthening National and Regional Data Systems for Africa’s Development
14;5;2;7;Multisector Innovation Acceleration Project
15;6;2;8;Strengthened Institutional Capacity of Member States and RECs 
16;6;2;8;Bio-diversity Project
17;7;2;8;Climate Change
18;7;2;8;AMCEN
19;8;2;8;Compacts and Engagement Frameworks for MS and RECs 
20;9;3;10;Deployment of Mini-Grid 
21;9;3;10;Financing Biomass Energy Markets
22;10;3;10;Sustainable Land and Water Management
23;10;3;10;Environmental Governance 
24;10;3;10;Climate Change Gender and Agriculture Support Project (GCCASP)
25;11;3;10;Strengthening National and Regional Food Security Systems
26;11;3;10;Agriculture and Food Insecurity Risk Management
27;11;3;10;African Forest Landscape Restoration (AFR100)
28;12;3;10;Agriculture Systems and Policy
29;12;3;10;Land Governance
30;12;3;10;National Agriculture Investment Plans (NAIPS)
31;12;3;10;Sustainable and Productive Agriculture
32;12;3;10;Smart Rural-Urban Communities for improved production and Productivity
33;13;3;11;Occupational Health and Safety
34;13;3;11;African Medicines Regulatory Harmonization 
35;13;3;11;HIV/AIDS TB and Malaria
36;13;3;11;Strengthening Public health Care in Africa
37;14;3;11;Education and Training (STEM)
38;15;3;11;ATVET and W
39;15;3;11;Skills Initiative for Africa (SIFA)
40;15;3;11;100000 SMEs 
41;16;3;11;AUDA Home Grown School Feeding Project
42;16;3;11;Nutrition and Food Systems implementation Plan
43;17;3;11;NEPAD-SPANISH Fund Project (BIAWE)
44;18;3;12;Capacity Building and Technical Advisory Services
45;18;3;12;Acceleration of PIDA Projects
46;19;3;12;Trade Facilitation and Integrated Markets for AfCFTA
47;19;3;12;People-Public-Private-Partnerships (4P Project)
48;19;3;12;Framework and SME - Specific Support for PPPs
49;20;3;13;Enhancing Technology and Organizational Capacity for Industrial Productivity in Africa
50;20;3;13;Africa Industrialisation Baseline Information and Analytical Tools In Pursuit of AIDA And IDDA3
51;20;3;13;Industrialization and the AfCFTA
52;21;3;13;Enhancing Productivity and Completeness in Priority Thematic Industries and Tradable Services
53;21;3;13;Agro-Industry and Irrigation
54;21;3;13;Strengthening Tourism Industry with Focus on Creating Jobs And National Wealth
55;22;4;16;Programme Evaluation and Quality Assurance
56;23;4;17;Knowledge Management
57;24;4;18;Centres of Excellence
58;24;4;18;Food Systems and Empowerment of Rural Communities
59;25;5;26;Organizational Excellence and Accountability Programme
60;26;6;27;Strategic Initiatives 
61;27;6;27;Technical Cooperation and Partnerships
62;28;6;27;Resources Mobilization
