1;Capacity Development
2;Sustainable Tourism (Youth Empowerment)
3;Rural Futures - Operationalization of RF
4;Communication
5;Resources Mobilization and Partnerships
6;Integrated Approach to Development
7;Office of The Chief Executive Officer
8;Program Development
9;Provided Strategic and Supervision
10;Private Sector Support 
11;OneStopShop 
12;ATVET (W)
13;BIAWE 
14;Base(Mapping   African   water   bodies)
15;AKI
16;Project Implementation Support
17;Foresight
18;Disaster Support
19;STEM Education Pipeline Development Ince
20;ASTII PHASE 4
21;AMRH
22;Southern Africa Tuberculosis and Health
23;ASTF 
24;ABNE
25;Alliance Excellence In Science in Africa
26;Tuberculosis in Mining Sector
27;PIDA Implementation Support
28;PIDA Preparation Support
29;Digital for Rural Transformation
30;Integrated energy security programme
31;CAADP PP meeting
32;Extractive Industry
33;Sahel Corridor Resilience Capacity Development
34;Nutrition
35;Establishment of Africa Climate Resilience System
36;AFIRM 
37;SIP (SLMRECs)
38;AFR100
39;AMCEN 
40;GCCASP
41;CSA
42;Grow Africa
43;Agriculture Transformation - NAIPS
44;Integrated Water security and Irrigation
45;Blue economy
