1;1;Internal Audit
2;1;Communications 
3;1;Private Sector Engagement
4;1;Legal
5;1;No Assigned Division
6;2;Division of Programme Development
7;2;Division of Data Analytics and Research – Technology Innovation Hub
8;2;Division of Technical Cooperation and Advisory Services
9;2; No Assigned Division
10;3;Division of Environmental Sustainability
11;3;Division of Human Capital and Institutions Development
12;3;Division of Economic Integration
13;3;Division of Industrialization
14;3;Coordinating and Reporting
15;3;No Assigned Division
16;4;Division of Evaluation
17;4;Division of Knowledge Capitalization and Management
18;4;Division of Centre of Excellence Management
19;4;No Assigned Division
20;5;Division of Finance
21;5;Division of Human Resources
22;5;Division of Procurement
23;5;Information Systems Management
24;5;Enterprise Resource Planning
25;5;Administration
26;5;No Assigned Division
27;6;No Assigned Division
